CAS #,substance name,plant name,temperature,compartment,"half life
[day]",target class,chemical class,plant class,compartment class,cold storage
93-76-5,"2,4,5-T",grass,24.6,leaf,8,herbicide,chlorophenoxy acid,weeds,crop surface,
93-76-5,"2,4,5-T",grass,24.6,leaf,9.6,herbicide,chlorophenoxy acid,weeds,crop surface,
93-76-5,"2,4,5-T",grass,24.6,leaf,14.7,herbicide,chlorophenoxy acid,weeds,crop surface,
94-75-7,"2,4-D",grass,24.6,leaf,3,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",grass,24.6,leaf,8.3,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",grass,24.6,leaf,8.8,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",orchard grass,20,leaf,2.4,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",timothy grass,22.1,leaf,1.1,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",turfgrass,16.6,leaf,13.08,herbicide,alkylchlorophenoxy,ornamentals,crop surface,
94-75-7,"2,4-D",wheat,22.2,straw,1,herbicide,alkylchlorophenoxy,cereals,crop surface,
94-75-7,"2,4-D",wheat,22.2,straw,1.05,herbicide,alkylchlorophenoxy,cereals,crop surface,
94-75-7,"2,4-D",wheat,22.2,straw,1.17,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.61,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.69,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.73,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.82,herbicide,alkylchlorophenoxy,cereals,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,chinese cabbage,20.4,leaf,0.3,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,chinese cabbage,20.4,leaf,1.1,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,cotton,29.6,leaf,5.3,plant growth regulator,unclassified,other,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,cotton,29.6,leaf,8.2,plant growth regulator,unclassified,other,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,0.56,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,1.1,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,1.9,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,2.1,plant growth regulator,unclassified,leafy crops,crop surface,
16655-82-6,3-hydroxycarbofuran,grapefruit,27.2,leaf,7,n/a,unclassified,fruits,crop surface,
16655-82-6,3-hydroxycarbofuran,grapefruit,27.2,leaf,11,n/a,unclassified,fruits,crop surface,
16655-82-6,3-hydroxycarbofuran,lemon,27.2,leaf,12,n/a,unclassified,fruits,crop surface,
16655-82-6,3-hydroxycarbofuran,lemon,27.2,leaf,16,n/a,unclassified,fruits,crop surface,
16655-82-6,3-hydroxycarbofuran,orange,21.6,leaf,12,n/a,unclassified,fruits,crop surface,
16655-82-6,3-hydroxycarbofuran,orange,21.6,leaf,43,n/a,unclassified,fruits,crop surface,
71751-41-2,abamectin,cabbage,20.2,head,1.4,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,cabbage,20.2,head,1.5,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,cabbage,20.2,head,1.6,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,cabbage,20.2,head,5.4,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,cauliflower,17.1,head,1.47,insecticide,microorganism derived,vegetables,crop surface,
71751-41-2,abamectin,cauliflower,17.1,head,1.49,insecticide,microorganism derived,vegetables,crop surface,
71751-41-2,abamectin,cauliflower,17.1,head,2.16,insecticide,microorganism derived,vegetables,crop surface,
71751-41-2,abamectin,celery,17.1,stalk,4.6,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,leaf,5.1,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,stalk,5.2,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,stalk,5.3,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,leaf,5.6,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,leaf,5.6,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,leaf,5.8,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,leaf,6.3,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,stalk,6.8,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,stalk,7.1,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,leaf,7.9,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,stalk,8.4,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,stalk,9,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,leaf,9.2,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,celery,17.1,stalk,11.2,insecticide,microorganism derived,root crops,crop (interior),
71751-41-2,abamectin,celery,17.1,leaf,12.9,insecticide,microorganism derived,root crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.3,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.34,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.47,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.49,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.5,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.56,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chinese cabbage,20.4,leaf,1.7,insecticide,microorganism derived,leafy crops,crop surface,
71751-41-2,abamectin,chrysanthemum,20,leaf,1.1,insecticide,microorganism derived,ornamentals,crop surface,
71751-41-2,abamectin,chrysanthemum,20,leaf,2.4,insecticide,microorganism derived,ornamentals,crop surface,
71751-41-2,abamectin,cotton,29.6,leaf,1.5,insecticide,microorganism derived,other,crop surface,
71751-41-2,abamectin,grapefruit,27.2,fruit,20,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,grapefruit,27.2,fruit surface,23,insecticide,microorganism derived,fruits,crop surface,
71751-41-2,abamectin,lemon,27.2,fruit,3.82,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,lemon,27.2,fruit,4.78,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,lemon,27.2,fruit,5.29,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,lemon,27.2,fruit,6.23,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,lemon,27.2,fruit,7.07,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,lemon,27.2,fruit,9.17,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,lemon,27.2,fruit surface,15,insecticide,microorganism derived,fruits,crop surface,
71751-41-2,abamectin,lemon,27.2,fruit,20,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,orange,21.6,fruit,7,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,orange,21.6,fruit surface,31,insecticide,microorganism derived,fruits,crop surface,
71751-41-2,abamectin,orange,21.6,fruit,38,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,strawberry,16.8,fruit,0.98,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,tomato,25,fruit,1.06,insecticide,microorganism derived,vegetables,crop (interior),
71751-41-2,abamectin,wolfberry,20,fruit,1.34,insecticide,microorganism derived,fruits,crop (interior),
71751-41-2,abamectin,wolfberry,20,fruit,1.5,insecticide,microorganism derived,fruits,crop (interior),
30560-19-1,acephate,cabbage,20.2,leaf,3.1,insecticide,organophosphate,leafy crops,crop surface,
30560-19-1,acephate,cabbage,20.2,leaf,13.5,insecticide,organophosphate,leafy crops,crop surface,
30560-19-1,acephate,chilli,24.3,fruit,1.88,insecticide,organophosphate,vegetables,crop (interior),
30560-19-1,acephate,cotton,29.6,leaf,0.68,insecticide,organophosphate,other,crop surface,
30560-19-1,acephate,cotton,29.6,leaf,0.7,insecticide,organophosphate,other,crop surface,
30560-19-1,acephate,cotton,29.6,leaf,0.7,insecticide,organophosphate,other,crop surface,
30560-19-1,acephate,cotton,29.6,leaf,1.56,insecticide,organophosphate,other,crop surface,
30560-19-1,acephate,cotton,29.6,leaf,1.7,insecticide,organophosphate,other,crop surface,
30560-19-1,acephate,cotton,29.6,leaf,1.96,insecticide,organophosphate,other,crop surface,
30560-19-1,acephate,cotton,29.6,leaf,2.05,insecticide,organophosphate,other,crop surface,
30560-19-1, ,cucumber,19.6,fruit,3.68,insecticide,organophosphate,vegetables,crop (interior),
30560-19-1,acephate,cucumber,19.6,leaf,5.17,insecticide,organophosphate,vegetables,crop surface,
30560-19-1,acephate,douglas fir,16.6,leaf,2.8,insecticide,organophosphate,forest trees,crop surface,
30560-19-1,acephate,douglas fir,16.6,leaf,3.3,insecticide,organophosphate,forest trees,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,5.31,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,6.27,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,6.9,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,7.67,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,8.63,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,8.63,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,9.86,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,9.86,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,11.5,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,grapefruit,27.2,leaf,13.8,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,lemon,27.2,leaf,8.2,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,lemon,27.2,fruit,8.2,insecticide,organophosphate,fruits,crop (interior),
30560-19-1,acephate,lemon,27.2,fruit,8.2,insecticide,organophosphate,fruits,crop (interior),
30560-19-1,acephate,mango,23.4,fruit surface,4.75,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,mango,23.4,fruit surface,4.88,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,olive,15.5,fruit,12,insecticide,organophosphate,fruits,crop (interior),
30560-19-1,acephate,olive,15.5,fruit,12.7,insecticide,organophosphate,fruits,crop (interior),
30560-19-1,acephate,orange,21.6,leaf,3.5,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,5.31,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,6.9,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,7.67,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,8.2,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,8.63,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,fruit,8.7,insecticide,organophosphate,fruits,crop (interior),
30560-19-1,acephate,orange,21.6,leaf,8.93,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,9.9,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,11.5,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,orange,21.6,leaf,13.8,insecticide,organophosphate,fruits,crop surface,
30560-19-1,acephate,pakchoi,x,leaf,1.07,insecticide,organophosphate,leafy crops,crop surface,
30560-19-1,acephate,pakchoi,17.9,leaf,1.36,insecticide,organophosphate,leafy crops,crop surface,
30560-19-1,acephate,peach,23.5,fruit,12,insecticide,organophosphate,fruits,crop (interior),
30560-19-1,acephate,pepper fruit,20.5,leaf,4.8,insecticide,organophosphate,vegetables,crop surface,
30560-19-1,acephate,pepper fruit,20.5,fruit,6.04,insecticide,organophosphate,vegetables,crop (interior),
30560-19-1,acephate,radish,17.1,leaf,3.2,insecticide,organophosphate,root crops,crop surface,
30560-19-1,acephate,radish,17.1,leaf,11.6,insecticide,organophosphate,root crops,crop surface,
30560-19-1,acephate,rice,20.8,leaf,3.4,insecticide,organophosphate,cereals,crop surface,
30560-19-1,acephate,rice,20.8,leaf,4.8,insecticide,organophosphate,cereals,crop surface,
30560-19-1,acephate,tomato,25,leaf,2.9,insecticide,organophosphate,vegetables,crop surface,
30560-19-1,acephate,tomato,25,leaf,2.9,insecticide,organophosphate,vegetables,crop surface,
30560-19-1,acephate,tomato,25,fruit,5.8,insecticide,organophosphate,vegetables,crop (interior),
30560-19-1,acephate,tomato,25,leaf,6.1,insecticide,organophosphate,vegetables,crop surface,
135410-20-7,acetamiprid,apple,21.4,fruit,2.2,insecticide,neonicotinoid,fruits,crop (interior),
135410-20-7,acetamiprid,apple,21.4,fruit,3.3,insecticide,neonicotinoid,fruits,crop (interior),
135410-20-7,acetamiprid,apple,21.4,fruit,3.8,insecticide,neonicotinoid,fruits,crop (interior),
135410-20-7,acetamiprid,apple,21.4,fruit,5.1,insecticide,neonicotinoid,fruits,crop (interior),
135410-20-7,acetamiprid,chilli,24.3,fruit,2.24,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,chilli,24.3,fruit,3.23,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,chilli,24.3,fruit,4.23,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,chilli,24.3,fruit,4.84,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,chinese cabbage,20.4,leaf,5.2,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,35,leaf,6.6,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,20.4,leaf,6.6,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,35,leaf,6.6,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,25,leaf,8.1,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,20.4,leaf,10.4,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,20.4,leaf,19.1,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,chinese cabbage,14,leaf,19.3,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,cowpea,24.3,fruit,3,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,okra,29.3,fruit,2.3,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,peach,23.5,fruit,8.77,insecticide,neonicotinoid,fruits,crop (interior),
135410-20-7,acetamiprid,soybean,26.4,total,4.9,insecticide,neonicotinoid,vegetables,n/a,
135410-20-7,acetamiprid,soybean,26.4,total,4.9,insecticide,neonicotinoid,vegetables,n/a,
135410-20-7,acetamiprid,soybean,26.4,total,5,insecticide,neonicotinoid,vegetables,n/a,
135410-20-7,acetamiprid,soybean,26.4,total,5,insecticide,neonicotinoid,vegetables,n/a,
135410-20-7,acetamiprid,soybean,26.4,total,5,insecticide,neonicotinoid,vegetables,n/a,
135410-20-7,acetamiprid,soybean,26.4,total,5.1,insecticide,neonicotinoid,vegetables,n/a,
135410-20-7,acetamiprid,spinach,17.1,leaf,10,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,shoot,1.82,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,leaf,1.84,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,leaf,1.86,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,shoot,1.9,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,leaf,2.03,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,shoot,2.08,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,leaf,2.25,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,tea,23,shoot,2.33,insecticide,neonicotinoid,leafy crops,crop surface,
135410-20-7,acetamiprid,zucchini,15.9,fruit,1.87,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,zucchini,15.9,fruit,1.94,insecticide,neonicotinoid,vegetables,crop (interior),
135410-20-7,acetamiprid,zucchini,15.9,leaf,2.5,insecticide,neonicotinoid,vegetables,crop surface,
135410-20-7,acetamiprid,zucchini,15.9,leaf,2.54,insecticide,neonicotinoid,vegetables,crop surface,
34256-82-1,acetochlor,rice,20.8,total,1.21,herbicide,chloroacetamide,cereals,n/a,
34256-82-1,acetochlor,rice,20.8,total,1.78,herbicide,chloroacetamide,cereals,n/a,
34256-82-1,acetochlor,rice,20.8,total,1.87,herbicide,chloroacetamide,cereals,n/a,
34256-82-1,acetochlor,rice,20.8,total,2.07,herbicide,chloroacetamide,cereals,n/a,
101007-06-1,acrinathrin,green bean,18.7,fruit,0.98,insecticide,pyrethroid,vegetables,crop (interior),
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,0.77,insecticide,pyrethroid,vegetables,crop (interior),
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,2.08,insecticide,pyrethroid,vegetables,crop (interior),
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,6.76,insecticide,pyrethroid,vegetables,crop (interior),
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,7.11,insecticide,pyrethroid,vegetables,crop (interior),
101007-06-1,acrinathrin,zucchini,15.9,fruit,1.01,insecticide,pyrethroid,vegetables,crop (interior),
101007-06-1,acrinathrin,zucchini,15.9,fruit,1.32,insecticide,pyrethroid,vegetables,crop (interior),
116-06-3,aldicarb,apple,21.4,flesh,4.8,insecticide,carbamate,fruits,crop (interior),
116-06-3,aldicarb,apple,21.4,peel,4.8,insecticide,carbamate,fruits,crop surface,
116-06-3,aldicarb,banana,26.4,peel,4,insecticide,carbamate,fruits,crop surface,
116-06-3,aldicarb,banana,26.4,flesh,6.5,insecticide,carbamate,fruits,crop (interior),
116-06-3,aldicarb,cotton,29.6,leaf,12.6,insecticide,carbamate,other,crop surface,
116-06-3,aldicarb,onion,19.8,skin,4,insecticide,carbamate,root crops,root,
116-06-3,aldicarb,onion,19.8,flesh,5.8,insecticide,carbamate,root crops,crop (interior),
116-06-3,aldicarb,pear,22.4,peel,5.1,insecticide,carbamate,fruits,crop surface,
116-06-3,aldicarb,pear,22.4,flesh,6.7,insecticide,carbamate,fruits,crop (interior),
116-06-3,aldicarb,potato,17.1,leaf,1,insecticide,carbamate,root crops,crop surface,
116-06-3,aldicarb,potato,17.1,skin,5.2,insecticide,carbamate,root crops,root,
116-06-3,aldicarb,potato,17.1,flesh,5.9,insecticide,carbamate,root crops,crop (interior),
116-06-3,aldicarb,sugar beet,17.9,leaf,6.13,insecticide,carbamate,root crops,crop surface,
116-06-3,aldicarb,sugar beet,17.9,leaf,6.8,insecticide,carbamate,root crops,crop surface,
116-06-3,aldicarb,sugar beet,17.9,leaf,7,insecticide,carbamate,root crops,crop surface,
116-06-3,aldicarb,sugar beet,17.9,leaf,12.38,insecticide,carbamate,root crops,crop surface,
116-06-3,aldicarb,sugar beet,17.9,leaf,12.6,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,6.73,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,7.53,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,8.56,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,9.5,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,16.12,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,17.77,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,18.73,insecticide,carbamate,root crops,crop surface,
1646-88-4,aldoxycarb,sugar beet,17.9,leaf,23.1,insecticide,carbamate,root crops,crop surface,
309-00-2,aldrin,alfalfa,19.7,leaf,1.7,insecticide,cyclodiene,weeds,crop surface,
67375-30-8,alpha-cypermethrin,mustard,17.1,leaf,2.3,insecticide,pyrethroid,herbs,crop surface,
67375-30-8,alpha-cypermethrin,mustard,17.1,leaf,2.6,insecticide,pyrethroid,herbs,crop surface,
67375-30-8,alpha-cypermethrin,mustard,17.1,leaf,7.5,insecticide,pyrethroid,herbs,crop surface,
67375-30-8,alpha-cypermethrin,mustard,17.1,leaf,8.7,insecticide,pyrethroid,herbs,crop surface,
67375-30-8,alpha-cypermethrin,tea,23,shoot,3.5,insecticide,pyrethroid,leafy crops,crop surface,
67375-30-8,alpha-cypermethrin,tea,23,leaf,3.7,insecticide,pyrethroid,leafy crops,crop surface,
67375-30-8,alpha-cypermethrin,tea,23,shoot,3.8,insecticide,pyrethroid,leafy crops,crop surface,
67375-30-8,alpha-cypermethrin,tea,23,leaf,3.9,insecticide,pyrethroid,leafy crops,crop surface,
67375-30-8,alpha-cypermethrin,tomato,25,fruit,7.3,insecticide,pyrethroid,vegetables,crop (interior),
959-98-8,alpha-endosulfan,african eggplant,24.3,leaf,0.7,insecticide,organochlorine,vegetables,crop surface,
959-98-8,alpha-endosulfan,chickpea,17.1,leaf,1.69,insecticide,organochlorine,vegetables,crop surface,
959-98-8,alpha-endosulfan,chickpea,17.1,leaf,2.71,insecticide,organochlorine,vegetables,crop surface,
959-98-8,alpha-endosulfan,chilli,24.3,fruit,1.47,insecticide,organochlorine,vegetables,crop (interior),
959-98-8,alpha-endosulfan,chilli,24.3,fruit,1.58,insecticide,organochlorine,vegetables,crop (interior),
959-98-8,alpha-endosulfan,muskmelon,20.9,fruit,0.95,insecticide,organochlorine,fruits,crop (interior),
959-98-8,alpha-endosulfan,pepper fruit,20.5,fruit,1.22,insecticide,organochlorine,vegetables,crop (interior),
959-98-8,alpha-endosulfan,pepper fruit,20.5,fruit,1.5,insecticide,organochlorine,vegetables,crop (interior),
959-98-8,alpha-endosulfan,pepper fruit,20.5,leaf,1.6,insecticide,organochlorine,vegetables,crop surface,
959-98-8,alpha-endosulfan,tea,23,shoot,1.4,insecticide,organochlorine,leafy crops,crop surface,
959-98-8,alpha-endosulfan,tomato,25,fruit,1.7,insecticide,organochlorine,vegetables,crop (interior),
959-98-8,alpha-endosulfan,tomato,25,leaf,2,insecticide,organochlorine,vegetables,crop surface,
2032-59-9,aminocarb,balsam fir,16.6,leaf,4.5,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,green bean,18.7,total,0.1,insecticide,carbamate,vegetables,n/a,
2032-59-9,aminocarb,white spruce,16.6,leaf,8.2,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,white spruce,16.6,leaf,8.8,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,white spruce,16.6,leaf,9.7,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,white spruce,16.6,leaf,10.6,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,white spruce,16.6,leaf,10.9,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,white spruce,16.6,leaf,12.5,insecticide,carbamate,forest trees,crop surface,
2032-59-9,aminocarb,white spruce,16.6,leaf,13.5,insecticide,carbamate,forest trees,crop surface,
33089-61-1,amitraz,orange,21.6,rind,3.6,insecticide,amidine,fruits,crop surface,
33089-61-1,amitraz,orange,21.6,rind,11,insecticide,amidine,fruits,crop surface,
494-52-0,anabasine,mustard,17.1,leaf,0.5,insecticide,botanical insecticide,herbs,crop surface,
494-52-0,anabasine,mustard,17.1,leaf,0.6,insecticide,botanical insecticide,herbs,crop surface,
494-52-0,anabasine,mustard,17.1,leaf,2.5,insecticide,botanical insecticide,herbs,crop surface,
494-52-0,anabasine,mustard,17.1,leaf,5.1,insecticide,botanical insecticide,herbs,crop surface,
64249-01-0,anilofos,rice,20.8,stalk,1.34,herbicide,organophosphate,cereals,crop (interior),
64249-01-0,anilofos,rice,20.8,leaf,1.41,herbicide,organophosphate,cereals,crop surface,
64249-01-0,anilofos,rice,20.8,total,2,herbicide,organophosphate,cereals,n/a,
64249-01-0,anilofos,rice,20.8,total,3,herbicide,organophosphate,cereals,n/a,
64249-01-0,anilofos,rice,20.8,grain,3.76,herbicide,organophosphate,cereals,crop (interior),
140-57-8,aramite,cotton,29.6,leaf,1,acaricide,sulfite ester,other,crop surface,
140-57-8,aramite,lima bean,17.1,leaf,1,acaricide,sulfite ester,vegetables,crop surface,
140-57-8,aramite,orange,21.6,peel,7,acaricide,sulfite ester,fruits,crop surface,
140-57-8,aramite,orange,21.6,leaf,9,acaricide,sulfite ester,fruits,crop surface,
11141-17-6,azadirachtin,balsam fir,16.6,leaf,0.71,insecticide,botanical insecticide,forest trees,crop surface,
11141-17-6,azadirachtin,balsam fir,16.6,leaf,0.92,insecticide,botanical insecticide,forest trees,crop surface,
11141-17-6,azadirachtin,balsam fir,16.6,leaf,0.92,insecticide,botanical insecticide,forest trees,crop surface,
11141-17-6,azadirachtin,green ash,20,leaf,7.5,insecticide,botanical insecticide,forest trees,crop surface,
11141-17-6,azadirachtin,green ash,20,leaf,12.3,insecticide,botanical insecticide,forest trees,crop surface,
11141-17-6,azadirachtin,olive,15.5,fruit,0.8,insecticide,botanical insecticide,fruits,crop (interior),
11141-17-6,azadirachtin,peach,23.5,leaf,1.05,insecticide,botanical insecticide,fruits,crop surface,
11141-17-6,azadirachtin,peach,23.5,fruit surface,1.11,insecticide,botanical insecticide,fruits,crop surface,
11141-17-6,azadirachtin,peach,23.5,fruit surface,1.11,insecticide,botanical insecticide,fruits,crop surface,
11141-17-6,azadirachtin,peach,23.5,leaf,1.19,insecticide,botanical insecticide,fruits,crop surface,
11141-17-6,azadirachtin,peach,23.5,fruit surface,1.68,insecticide,botanical insecticide,fruits,crop surface,
11141-17-6,azadirachtin,peach,23.5,leaf,1.71,insecticide,botanical insecticide,fruits,crop surface,
11141-17-6,azadirachtin,peach,23.5,leaf,1.87,insecticide,botanical insecticide,fruits,crop surface,
